Source,Target
NFKB2,ARTHRITIS
RELA,ARTHRITIS
RELB,ARTHRITIS
REL,ARTHRITIS
TGFB1,ARTHRITIS
HSPA4,ARTHRITIS
IL22,ARTHRITIS
CHI3L1,ARTHRITIS
TIMP1,ARTHRITIS
CD69,ARTHRITIS
FCGR2B,ARTHRITIS
CCL2,ARTHRITIS
NCF1,ARTHRITIS
TNC,ARTHRITIS
ITGAM,ARTHRITIS
TBCA,ARTHRITIS
STAT3,ARTHRITIS
CCR2,ARTHRITIS
IL2,ARTHRITIS
SIRT1,ARTHRITIS
PRTN3,ARTHRITIS
TNFAIP3,ARTHRITIS
GRN,ARTHRITIS
TNFRSF1A,ARTHRITIS
NOD2,ARTHRITIS
LGALS3,ARTHRITIS
STAT1,ARTHRITIS
IL7,ARTHRITIS
TP53,ARTHRITIS
FOXP3,ARTHRITIS
ALB,ARTHRITIS
PDCD1,ARTHRITIS
RETN,ARTHRITIS
CD4,ARTHRITIS
S100A9,ARTHRITIS
TRPV1,ARTHRITIS
IL27,ARTHRITIS
TLR7,ARTHRITIS
NFE2L2,ARTHRITIS
NLRP3,ARTHRITIS
CASP1,ARTHRITIS
TLR3,ARTHRITIS
IL17D,ARTHRITIS
CSF1R,ARTHRITIS
FAS,ARTHRITIS
CD44,ARTHRITIS
SPP1,ARTHRITIS
IL13,ARTHRITIS
TLR9,ARTHRITIS
IGHG1,ARTHRITIS
FASLG,ARTHRITIS
PPARG,ARTHRITIS
ESR1,ARTHRITIS
P2RX7,ARTHRITIS
MIR155,ARTHRITIS
MSC,ARTHRITIS
OSM,ARTHRITIS
CXCR4,ARTHRITIS
MRAP,ARTHRITIS
TNFRSF10A,ARTHRITIS
SAA1,ARTHRITIS
F3,ARTHRITIS
SELPLG,ARTHRITIS
PTGES,ARTHRITIS
GH1,ARTHRITIS
FCGR1A,ARTHRITIS
NOG,ARTHRITIS
IKBKB,ARTHRITIS
CDH11,ARTHRITIS
IL11,ARTHRITIS
TNFRSF4,ARTHRITIS
ACAN,ARTHRITIS
RBM45,ARTHRITIS
GGTLC1,ARTHRITIS
ETS1,ARTHRITIS
NELFCD,ARTHRITIS
PTH,ARTHRITIS
ZFP36,ARTHRITIS
CX3CL1,ARTHRITIS
SERPINA4,ARTHRITIS
RSPO1,ARTHRITIS
IGF1,ARTHRITIS
CCR5,ARTHRITIS
S100A8,ARTHRITIS
CXCR3,ARTHRITIS
DLX4,ARTHRITIS
CD55,ARTHRITIS
ANGPT1,ARTHRITIS
CD22,ARTHRITIS
PLAUR,ARTHRITIS
MAP2K3,ARTHRITIS
IL6ST,ARTHRITIS
CCR1,ARTHRITIS
SLPI,ARTHRITIS
CSF1,ARTHRITIS
KNG1,ARTHRITIS
ANG,ARTHRITIS
SH2B2,ARTHRITIS
CHI3L2,ARTHRITIS
HP,ARTHRITIS
VSIG4,ARTHRITIS
ADGRE5,ARTHRITIS
IL17C,ARTHRITIS
PIK3CG,ARTHRITIS
BCL2L1,ARTHRITIS
ICOS,ARTHRITIS
IL21R,ARTHRITIS
ITGA1,ARTHRITIS
IL3,ARTHRITIS
PYCARD,ARTHRITIS
F8,ARTHRITIS
CYP27A1,ARTHRITIS
FCGRT,ARTHRITIS
FSTL1,ARTHRITIS
NMU,ARTHRITIS
ALOX15,ARTHRITIS
ADAM17,ARTHRITIS
ASIC3,ARTHRITIS
PRL,ARTHRITIS
MIA,ARTHRITIS
FCGR3A,ARTHRITIS
PLG,ARTHRITIS
KIR3DL2,ARTHRITIS
IL1R1,ARTHRITIS
SEMA3A,ARTHRITIS
CFP,ARTHRITIS
TNFAIP6,ARTHRITIS
MMRN1,ARTHRITIS
ITGAX,ARTHRITIS
IL19,ARTHRITIS
FLT3,ARTHRITIS
LTB,ARTHRITIS
MAP2K6,ARTHRITIS
ITGAL,ARTHRITIS
HDAC9,ARTHRITIS
PRG4,ARTHRITIS
CLEC7A,ARTHRITIS
HLA-DRB1,ARTHRITIS
BCL2,ARTHRITIS
IL17B,ARTHRITIS
IGKV2D-29,ARTHRITIS
PTGER2,ARTHRITIS
TRAF6,ARTHRITIS
ELANE,ARTHRITIS
DPP4,ARTHRITIS
MMP13,ARTHRITIS
PDLIM4,ARTHRITIS
LTB4R,ARTHRITIS
BCL2L11,ARTHRITIS
CSF3,ARTHRITIS
FOS,ARTHRITIS
IL15,ARTHRITIS
ANXA1,ARTHRITIS
MS4A1,ARTHRITIS
FST,ARTHRITIS
MDK,ARTHRITIS
CIT,ARTHRITIS
CEL,ARTHRITIS
STEAP4,ARTHRITIS
SELE,ARTHRITIS
CYBB,ARTHRITIS
MAP3K7,ARTHRITIS
FLT1,ARTHRITIS
GATA3,ARTHRITIS
IL6R,ARTHRITIS
PARP1,ARTHRITIS
MTA2,ARTHRITIS
ADM,ARTHRITIS
PCLAF,ARTHRITIS
NRP1,ARTHRITIS
NAMPT,ARTHRITIS
MASP1,ARTHRITIS
PRKAB1,ARTHRITIS
ADAMTS7,ARTHRITIS
ALOX5,ARTHRITIS
FGF21,ARTHRITIS
TNFRSF1B,ARTHRITIS
S100A12,ARTHRITIS
IL17RA,ARTHRITIS
LYZ,ARTHRITIS
CD86,ARTHRITIS
BIRC5,ARTHRITIS
IL1RL1,ARTHRITIS
CAT,ARTHRITIS
CTLA4,ARTHRITIS
MMP1,ARTHRITIS
CD40LG,ARTHRITIS
TMED1,ARTHRITIS
BGLAP,ARTHRITIS
F2RL3,ARTHRITIS
MAPK13,ARTHRITIS
MMP12,ARTHRITIS
SLC16A4,ARTHRITIS
ENO1,ARTHRITIS
